Timestamp,DRA0010_COATING_DIAMETER
="2022-12-01 15:41:55.986",5000.0
="2022-12-01 15:41:31.349",5000.0
="2022-12-01 15:41:06.462",4999.0
="2022-12-01 15:40:42.293",5000.0
="2022-12-01 15:40:17.647",5000.0
="2022-12-01 15:39:53.009",4999.0
="2022-12-01 15:39:28.842",5000.0
="2022-12-01 15:39:04.195",5000.0
="2022-12-01 15:38:39.557",5000.0
="2022-12-01 15:38:14.438",5000.0
="2022-12-01 15:37:49.321",4999.0
="2022-12-01 15:37:23.494",5000.0
="2022-12-01 15:36:58.377",5000.0
="2022-12-01 15:36:33.230",5000.0
="2022-12-01 15:36:07.972",4999.0
="2022-12-01 15:35:43.184",5000.0
="2022-12-01 15:35:17.928",5000.0
="2022-12-01 15:34:53.149",4999.0
="2022-12-01 15:34:28.843",5000.0
="2022-12-01 15:34:04.064",5000.0
="2022-12-01 15:33:40.236",5000.0
="2022-12-01 15:33:14.978",5000.0
="2022-12-01 15:32:50.192",5000.0
="2022-12-01 15:32:26.844",5000.0
="2022-12-01 15:32:01.106",5000.0
="2022-12-01 15:31:36.429",5000.0
="2022-12-01 15:31:12.261",4999.0
="2022-12-01 15:30:46.674",5000.0
="2022-12-01 15:30:21.097",5000.0
="2022-12-01 15:29:56.929",5000.0
="2022-12-01 15:29:33.230",5000.0
="2022-12-01 15:29:08.125",5000.0
="2022-12-01 15:28:43.475",5000.0
="2022-12-01 15:28:18.839",5000.0
="2022-12-01 15:27:54.671",5000.0
="2022-12-01 15:27:29.083",5000.0
="2022-12-01 15:27:04.917",5000.0
="2022-12-01 15:26:39.798",5000.0
="2022-12-01 15:26:15.631",5000.0
="2022-12-01 15:25:52.642",5000.0
="2022-12-01 15:25:28.465",5000.0
="2022-12-01 15:25:04.298",4999.0
="2022-12-01 15:24:38.461",5000.0
="2022-12-01 15:24:06.234",5000.0
="2022-12-01 14:07:41.347",5037.0
="2022-12-01 14:07:15.839",5038.0
="2022-12-01 14:06:51.431",5037.0
="2022-12-01 14:06:26.943",5037.0
="2022-12-01 14:06:02.727",5038.0
="2022-12-01 14:05:36.740",5039.0
="2022-12-01 14:05:11.741",5038.0
="2022-12-01 14:04:46.743",5037.0
="2022-12-01 14:04:21.255",5038.0
="2022-12-01 14:03:55.759",5039.0
="2022-12-01 14:03:30.761",5039.0
="2022-12-01 14:03:06.015",5039.0
="2022-12-01 14:02:41.007",5038.0
="2022-12-01 14:02:16.007",5039.0
="2022-12-01 14:01:51.751",5039.0
="2022-12-01 14:01:25.013",5037.0
="2022-12-01 14:01:01.236",5014.0
="2022-12-01 14:00:35.230",4996.0
="2022-12-01 14:00:10.692",5006.0
="2022-12-01 13:59:46.154",5012.0
="2022-12-01 13:59:19.906",5016.0
="2022-12-01 13:58:54.888",5017.0
="2022-12-01 13:58:31.102",5021.0
="2022-12-01 13:58:06.093",5023.0
="2022-12-01 13:57:41.087",5023.0
="2022-12-01 13:57:15.579",5015.0
="2022-12-01 13:56:49.351",5005.0
="2022-12-01 13:56:25.563",5020.0
="2022-12-01 13:56:01.047",5017.0
="2022-12-01 13:55:36.779",5035.0
="2022-12-01 13:55:12.252",5019.0
="2022-12-01 13:54:47.724",5026.0
="2022-12-01 13:54:22.467",5024.0
="2022-12-01 13:53:57.951",5028.0
="2022-12-01 13:53:31.962",5007.0
="2022-12-01 13:53:07.435",5017.0
="2022-12-01 13:52:41.446",5020.0
="2022-12-01 13:52:16.439",5010.0
="2022-12-01 13:51:51.911",5020.0
="2022-12-01 13:51:27.874",5015.0
="2022-12-01 13:51:02.857",5010.0
="2022-12-01 13:50:38.348",5011.0
="2022-12-01 13:50:14.083",5004.0
="2022-12-01 13:49:49.074",5008.0
="2022-12-01 13:49:24.067",5010.0
="2022-12-01 13:48:59.048",5007.0
="2022-12-01 13:48:34.281",5012.0
="2022-12-01 13:48:08.783",5008.0
="2022-12-01 13:47:45.007",5024.0
="2022-12-01 13:47:20.490",5013.0
="2022-12-01 13:46:55.482",5014.0
="2022-12-01 13:45:20.070",5001.0
="2022-12-01 13:44:54.094",5008.0
="2022-12-01 13:44:30.305",5010.0
="2022-12-01 13:44:04.078",5017.0
="2022-12-01 13:43:39.062",5008.0
="2022-12-01 13:43:14.054",5005.0
="2022-12-01 13:42:48.066",5019.0
="2022-12-01 13:42:23.059",5012.0
="2022-12-01 13:41:59.752",5016.0
="2022-12-01 13:41:35.474",5039.0
="2022-12-01 13:41:10.447",5039.0
="2022-12-01 13:40:44.938",5039.0
="2022-12-01 13:40:19.922",5038.0
="2022-12-01 13:39:55.634",5038.0
="2022-12-01 13:39:29.637",5038.0
="2022-12-01 13:39:05.369",5039.0
="2022-12-01 13:38:40.852",5030.0
="2022-12-01 13:38:17.564",5037.0
="2022-12-01 13:37:51.816",5038.0
="2022-12-01 13:37:27.289",5031.0
="2022-12-01 13:37:02.282",5021.0
="2022-12-01 13:36:36.283",5028.0
="2022-12-01 13:36:10.777",5031.0
="2022-12-01 13:35:46.748",5024.0
="2022-12-01 13:35:21.242",5023.0
="2022-12-01 13:34:55.754",5019.0
="2022-12-01 13:34:31.237",5026.0
="2022-12-01 13:34:05.729",5022.0
="2022-12-01 13:33:40.222",5019.0
="2022-12-01 13:33:15.213",5021.0
="2022-12-01 13:32:50.966",5018.0
="2022-12-01 13:32:24.248",5014.0
="2022-12-01 13:31:59.232",5021.0
="2022-12-01 13:31:34.464",5018.0
="2022-12-01 13:31:09.466",5018.0
="2022-12-01 13:30:43.969",5026.0
="2022-12-01 13:30:18.721",5038.0
="2022-12-01 13:29:54.425",5038.0
="2022-12-01 13:29:29.178",5039.0
="2022-12-01 13:29:04.148",5039.0
="2022-12-01 13:28:38.631",5036.0
="2022-12-01 13:28:13.615",5029.0
="2022-12-01 13:27:47.616",5026.0
="2022-12-01 13:27:22.109",5021.0
="2022-12-01 13:26:57.083",5021.0
="2022-12-01 13:26:31.805",5030.0
="2022-12-01 13:26:06.786",5018.0
="2022-12-01 13:25:40.799",5024.0
="2022-12-01 13:25:15.781",5019.0
="2022-12-01 13:24:50.275",5017.0
="2022-12-01 13:24:25.746",5016.0
="2022-12-01 13:24:00.729",5018.0
="2022-12-01 13:23:36.452",5010.0
="2022-12-01 13:23:12.665",5037.0
="2022-12-01 13:22:47.647",5027.0
="2022-12-01 13:22:23.369",5011.0
="2022-12-01 13:21:58.842",5028.0
="2022-12-01 13:21:33.833",5016.0
="2022-12-01 13:21:09.067",5019.0
="2022-12-01 13:20:44.790",5014.0
="2022-12-01 13:20:19.282",5017.0
="2022-12-01 13:19:54.025",5009.0
="2022-12-01 13:19:29.746",5011.0
="2022-12-01 13:19:04.238",5016.0
="2022-12-01 13:18:38.732",5000.0
="2022-12-01 13:18:14.945",5015.0
="2022-12-01 13:17:50.666",5014.0
="2022-12-01 13:17:25.660",5019.0
="2022-12-01 13:17:01.132",5009.0
="2022-12-01 13:16:36.604",5018.0
="2022-12-01 13:16:11.347",5013.0
="2022-12-01 13:15:47.080",5016.0
="2022-12-01 13:15:21.572",5011.0
="2022-12-01 13:14:56.554",5016.0
="2022-12-01 13:14:32.027",5013.0
="2022-12-01 13:14:07.509",5016.0
="2022-12-01 13:13:42.492",5022.0
="2022-12-01 13:13:17.475",5010.0
="2022-12-01 13:12:51.977",5016.0
="2022-12-01 13:12:26.480",5012.0
="2022-12-01 13:12:00.972",5011.0
="2022-12-01 13:11:35.955",5005.0
="2022-12-01 13:11:11.666",5009.0
="2022-12-01 13:10:45.670",5021.0
="2022-12-01 13:10:20.652",5002.0
="2022-12-01 13:09:55.395",5008.0
="2022-12-01 13:09:30.378",5017.0
="2022-12-01 13:09:05.120",5006.0
="2022-12-01 13:08:39.851",5004.0
="2022-12-01 13:08:15.325",5009.0
="2022-12-01 13:07:51.547",5003.0
="2022-12-01 13:07:26.788",5003.0
="2022-12-01 13:07:01.781",5008.0
="2022-12-01 13:06:36.284",5010.0
="2022-12-01 13:06:11.277",4985.0
="2022-12-01 13:05:46.268",5002.0
="2022-12-01 13:05:21.750",5007.0
="2022-12-01 13:04:56.754",5007.0
="2022-12-01 13:04:31.996",4998.0
="2022-12-01 13:04:07.239",5000.0
="2022-12-01 13:03:42.722",4998.0
="2022-12-01 13:03:17.715",5009.0
="2022-12-01 13:02:52.217",5004.0
="2022-12-01 13:02:27.938",5006.0
="2022-12-01 13:02:01.963",5004.0
="2022-12-01 13:01:37.445",5006.0
="2022-12-01 13:01:13.167",4998.0
="2022-12-01 13:00:47.670",5002.0
="2022-12-01 13:00:22.661",4997.0
